feature,queda_auc,desvio,bloco
fin_pct_fundeb_sobre_desp_total,1.251242885510114e-05,6.0842721464291376e-05,município (financiamento)
mun_lag_nivel_alfabetizacao,1.0040322658499967e-05,5.079661745697838e-06,município (educacional)
edu_ideb_taxa_aprovacao,9.51536699063856e-06,4.732371704244447e-06,educacional
ses_taxa_pbf,7.20247904569445e-06,4.19597772669062e-05,município (socioeconômico)
edu_ideb_imputado_uf,8.162926898869216e-07,1.990044319957751e-06,educacional
id_municipio,0.0,0.0,identificação geográfica
fin_fonte_estadual,0.0,0.0,município (financiamento)
ter_amazonia_legal,0.0,0.0,território
ses_expectativa_anos_estudo,-2.627453093762e-06,7.346392260589336e-05,município (socioeconômico)
inf_pct_alimentacao,-1.2094322570913954e-05,1.0855443056717543e-05,escola (infraestrutura)
ses_idade_mediana,-1.5674340032356682e-05,1.1671531314323627e-05,município (socioeconômico)
edu_docentes_superior_ai,-1.851359141047393e-05,6.065773734566299e-05,educacional
ses_share_pop_0a14,-2.5103551788567085e-05,3.530890133326645e-05,município (socioeconômico)
edu_horas_aula_ai,-2.6747117737498567e-05,4.073276604357507e-05,educacional
ses_valor_medio_familia_pbf,-2.9917545894579216e-05,5.331939747681992e-05,município (socioeconômico)
inf_pct_material_jogo,-3.8923442635119265e-05,0.00013265734132875384,escola (infraestrutura)
inse_medio,-4.0594811947995226e-05,3.78553249707892e-05,escola (socioeconômico)
ses_moradores_por_domicilio,-4.5280699414710725e-05,3.565381100576078e-05,município (socioeconômico)
ses_taxa_cadunico,-4.8581275470693797e-05,6.700318652478274e-05,município (socioeconômico)
edu_esforco_docente_n1,-4.9048090433156943e-05,0.00010879664012796364,educacional
inse_desvio_vs_uf,-4.9546932055462754e-05,6.047149320317579e-05,escola (socioeconômico)
ses_pib_per_capita,-5.5323133721252304e-05,6.074913702092738e-05,município (socioeconômico)
ses_prop_mae_sem_fundamental,-5.939544669638271e-05,0.0001005684254928261,município (socioeconômico)
ses_indice_envelhecimento,-6.477726292268098e-05,5.664488601949606e-05,município (socioeconômico)
edu_afd_grupo5_ai,-6.799203568567484e-05,1.9018824398297813e-05,educacional
edu_regularidade_docente_baixa,-7.68019715010985e-05,2.100094007406613e-05,educacional
ses_valor_pbf_per_capita_atual,-7.773264511893678e-05,2.6048477146336678e-05,município (socioeconômico)
inf_pct_agua_potavel,-8.011071259572677e-05,1.475486327105394e-05,escola (infraestrutura)
ses_share_domicilio_precario,-8.396714476729035e-05,4.167945273368305e-06,município (socioeconômico)
inse_pct_niveis_baixos,-9.34345069622348e-05,0.0001400622330047587,escola (socioeconômico)
inf_dispositivos_por_aluno,-9.69156993019989e-05,8.740088370175596e-05,escola (infraestrutura)
ses_prop_crianca_fora_escola,-0.00010051598858325701,0.00010258046774851749,município (socioeconômico)
fin_pct_fundeb_educ_infantil,-0.0001009306458426007,1.9076003423702495e-05,município (financiamento)
inse_pct_niveis_altos,-0.00010225633839418731,6.181838574312613e-05,escola (socioeconômico)
inse_pct_escolas_rurais,-0.0001058053850198452,6.261841645587917e-05,escola (socioeconômico)
inf_pct_biblioteca_leitura,-0.0001136533244403178,2.125525578716265e-05,escola (infraestrutura)
ses_idhm_educacao,-0.0001226609808874235,6.16198175134988e-05,município (socioeconômico)
inf_matriculas_ai,-0.00013016859305466552,4.979967842903539e-05,escola (infraestrutura)
edu_saeb5_pct_lp_altos,-0.00013389712975183285,7.240047992109029e-05,educacional
inf_pct_banda_larga,-0.00014774707638679865,1.9189091428811203e-05,escola (infraestrutura)
ter_capital_uf,-0.00015225361455850628,8.949419807004946e-06,território
uf_lag_ranking,-0.0001544910462851027,4.276379947872597e-05,UF
inf_pct_parque_infantil,-0.00016673395847995506,6.39651474703225e-05,escola (infraestrutura)
ses_taxa_atraso_2anos_fund,-0.00018517441648472724,7.078047375202518e-05,município (socioeconômico)
ses_taxa_desocupacao,-0.00020426082758225514,9.608807218176658e-05,município (socioeconômico)
ses_taxa_alfabetizacao_15mais,-0.00022258972018977344,3.78605238710967e-05,município (socioeconômico)
ses_densidade_demografica,-0.00023621041225104408,0.0001364404257714619,município (socioeconômico)
edu_alunos_por_turma_ai,-0.00024167887642952598,8.124954471113634e-06,educacional
edu_aprovacao_ai_lag1,-0.0002455690949674609,6.549241921001421e-05,educacional
edu_regularidade_docente_alta,-0.0002477626748060476,6.19032193823803e-05,educacional
edu_afd_grupo1_ai,-0.00027040207427186935,7.324756190577412e-05,educacional
inse_tamanho_medio_escola,-0.00029690818259568247,5.590918967492878e-05,escola (socioeconômico)
fin_pct_desp_ens_fund_sobre_educ,-0.0003158024337343024,3.2174379516339186e-05,município (financiamento)
edu_gap_tdi_rural_urbana,-0.0003235286014591591,6.915031916381511e-05,educacional
ses_log_renda_per_capita,-0.00032534806767806995,1.978312521909858e-05,município (socioeconômico)
ses_ivs_capital_humano,-0.0004811618502077823,4.0466867360251597e-05,município (socioeconômico)
fin_log_desp_educacao,-0.000537680458193431,6.58532253693708e-05,município (financiamento)
edu_alunos_por_turma_rural,-0.0005502517316366603,4.1761548123523365e-05,educacional
fin_pct_mde_sobre_impostos,-0.000749850322208756,8.475896102216315e-05,município (financiamento)
ses_log_populacao,-0.0009652315803504082,0.00027966383206571845,município (socioeconômico)
fin_log_receita_fundeb,-0.0012571136186144323,0.000112541631472086,município (financiamento)
inf_n_escolas_ai,-0.0050900667291196395,0.0002900548765695149,escola (infraestrutura)
