,n,taxa_base,roc_auc,pr_auc,ks,acuracia_balanceada,brier
(total),421968.0,0.6116648655822242,0.6453524803109769,0.7382279691538189,0.2051948363397727,0.6025974181698863,0.22492225835672755
município novo (UF vista),421968.0,0.6116648655822242,0.6453524803109769,0.7382279691538189,0.2051948363397727,0.6025974181698863,0.22492225835672755
