grupo,n_municipios,taxa_observada,ses_ivs,ses_log_renda_per_capita,ses_idhm_educacao,ses_idade_mediana,ses_share_pop_5a9,ses_taxa_alfab_adultos_25a44,ses_taxa_pbf,inse_medio,edu_tdi_anos_iniciais,edu_docentes_superior_ai,inf_pct_internet_aprendizagem,inf_alunos_por_turma_ai,fin_invest_aluno_ens_fund
1,622,0.5257453376889647,0.55977327,5.4314165,0.44327813,28.405146,0.08747654,0.88767105,0.56507164,4.292134,22.148392,31.190483,0.42660257,24.067759,11405.684
2,1138,0.5787570097939738,0.4603207,5.569471,0.48219243,34.158173,0.06905436,0.9061927,0.5044112,4.4118066,18.805273,22.102198,0.65757555,19.467869,12559.218
3,763,0.6048365929889952,0.3695309,6.062877,0.55547047,32.996067,0.07438354,0.9562846,0.29581124,4.7516527,23.909174,18.976772,0.7875521,23.780336,12783.359
4,1370,0.676245099091632,0.23089334,6.596773,0.6561519,36.70438,0.06410379,0.98329765,0.10781557,5.2858953,22.491667,12.035355,0.9296976,21.731188,13944.344
5,1080,0.6994581316372409,0.27968675,6.3141522,0.58168024,38.589813,0.060689814,0.9756074,0.18259184,5.1292195,16.187582,14.437129,0.80409306,16.8304,15810.2705
