feature,queda_auc,desvio,bloco
edu_complexidade_gestao_n1,-4.585404914140649e-06,2.635524453434469e-05,educacional
inf_pct_banda_larga,-7.162705557117732e-06,4.1068274708012096e-05,escola (infraestrutura)
edu_saeb5_gap_urbano_rural_lp,-1.2333605264869265e-05,8.13500056154604e-05,educacional
fin_invest_aluno_educ_basica,-1.780314754325681e-05,3.200101964092498e-05,município (financiamento)
inf_pct_agua_potavel,-2.3857421710515855e-05,4.9061661143600665e-05,escola (infraestrutura)
ses_ivs_capital_humano,-2.4083033480707765e-05,6.009634479829494e-06,município (socioeconômico)
edu_esforco_docente_n1,-2.437418571284618e-05,1.6732449543823125e-05,educacional
ses_gini,-3.1215292198775536e-05,1.1943235218782215e-05,município (socioeconômico)
ses_taxa_atraso_2anos_fund,-3.6940407601456414e-05,3.6029759254631887e-05,município (socioeconômico)
ses_share_pop_5a9,-3.7926912925478895e-05,1.2401188313534244e-05,município (socioeconômico)
ses_prop_crianca_fora_escola,-3.976024263126673e-05,4.999460519859955e-05,município (socioeconômico)
ses_ivs_infra_urbana,-4.062516866454313e-05,8.846859914930987e-05,município (socioeconômico)
ses_pib_per_capita,-4.397827418330576e-05,3.6818751147581735e-05,município (socioeconômico)
ses_moradores_por_domicilio,-4.418411978242739e-05,7.12232671897623e-05,município (socioeconômico)
ses_log_populacao,-4.773786927643927e-05,7.979464204250312e-05,município (socioeconômico)
inf_pct_prof_pedagogia,-4.942499867129543e-05,1.4511920232908958e-05,escola (infraestrutura)
edu_afd_grupo5_ai,-5.1088478015826055e-05,3.860134134155125e-05,educacional
edu_alunos_por_turma_rural,-5.471130507606059e-05,6.38696859409883e-05,educacional
ses_taxa_desocupacao,-6.007792455490583e-05,1.4796225822610984e-05,município (socioeconômico)
ses_valor_medio_familia_pbf,-7.122438052065139e-05,6.026900299929406e-05,município (socioeconômico)
inse_pct_niveis_baixos,-7.246056379502559e-05,5.614175236040691e-05,escola (socioeconômico)
ses_share_esgoto_inadequado,-7.534774251645911e-05,1.7055587835029204e-05,município (socioeconômico)
inf_pct_parque_infantil,-7.73564016273894e-05,7.14068498850313e-05,escola (infraestrutura)
edu_afd_grupo1_ai,-7.764200546063933e-05,5.755732011737865e-05,educacional
inse_pct_niveis_altos,-8.866258212629023e-05,8.228870770333594e-05,escola (socioeconômico)
ses_ivs,-9.291730246604088e-05,4.7218025082743534e-05,município (socioeconômico)
fin_pct_ens_fund_sobre_educacao,-9.369796219101574e-05,5.475995532571334e-06,município (financiamento)
edu_ideb_ai_uf,-9.627810638842178e-05,6.889378271574868e-05,educacional
fin_pct_mde_sobre_impostos,-0.0001059050639609,7.164813682990394e-05,município (financiamento)
inf_pct_lixo_coleta,-0.0001080108894076,7.437310384876368e-05,escola (infraestrutura)
ses_densidade_demografica,-0.0001105716142088,5.201121766283459e-05,município (socioeconômico)
fin_desp_professor_por_aluno,-0.0001142680269095,7.387463334675328e-05,município (financiamento)
ses_expectativa_anos_estudo,-0.0001254334861413,3.921359394711446e-05,município (socioeconômico)
edu_docentes_superior_ai,-0.0001284617329047,8.593928232598534e-05,educacional
inse_n_escolas,-0.0001299198521351,4.213898167263231e-05,escola (socioeconômico)
ses_fecundidade_total,-0.0001352043553103,2.794320556705645e-05,município (socioeconômico)
edu_ideb_ai_publica,-0.000141538060717,0.0001044496682314,educacional
edu_ideb_ai_publica_imputado,-0.0001524396242263,2.6361709128990683e-05,educacional
ses_razao_pbf_cadunico,-0.0001540306969652,5.694079713130602e-05,município (socioeconômico)
ter_latitude,-0.0001572090279188,6.520634173539752e-05,território
inse_min_escola,-0.0001698394031697,2.3483938155107407e-05,escola (socioeconômico)
edu_gap_tdi_rural_urbana,-0.0002095314698495,4.4268334025105065e-05,educacional
inf_pct_esgoto_publico,-0.00026776857436,1.8161577397537983e-05,escola (infraestrutura)
inf_pct_internet_aprendizagem,-0.0003146770273562,2.895787181079781e-05,escola (infraestrutura)
edu_ideb_indicador_rendimento,-0.00034211642604,7.616658965805637e-05,educacional
fin_pct_fundeb_sobre_desp_total,-0.0004141987277402,9.93738500615448e-05,município (financiamento)
fin_pct_desp_ens_fund_sobre_educ,-0.0004780531700048,4.599672928046661e-05,município (financiamento)
alu_caderno,-0.0005402000925087,6.739000768430097e-05,aluno
edu_ideb_taxa_aprovacao,-0.0005638642218725,1.8700572792889715e-05,educacional
