id_municipio,grupo,alvo_alfabetizado
1100015,3,0.68
1100023,3,0.6585365853658537
1100031,5,0.76
1100049,4,0.6635120925341745
1100056,4,0.6680327868852459
1100064,4,0.72
1100072,5,0.7209302325581395
1100080,3,0.5989847715736041
1100098,3,0.6964285714285714
1100106,3,0.45286885245901637
1100114,5,0.653781512605042
1100122,4,0.6630654962862931
1100130,3,0.654320987654321
1100148,5,0.7541666666666667
1100155,4,0.6657458563535912
1100189,4,0.8177966101694916
1100205,4,0.5208410180745112
1100254,5,0.6831683168316832
1100262,5,0.6290322580645161
1100288,4,0.7444279346210996
1100296,5,0.8333333333333334
1100304,4,0.7194844579226687
1100320,5,0.6920529801324503
1100338,3,0.45792079207920794
1100346,3,0.6875
1100379,2,0.7956989247311828
1100403,5,0.6023391812865497
1100452,3,0.723744292237443
1100502,5,0.7058823529411765
1100601,5,0.7941176470588235
1100700,3,0.7239263803680982
1100809,3,0.5136612021857924
1100908,3,0.64
1100924,3,0.7337662337662337
1100940,3,0.676923076923077
1101005,3,0.7096774193548387
1101104,3,0.7125
1101203,5,0.6951219512195121
1101302,3,0.7384615384615385
1101401,3,0.7093023255813954
1101435,3,0.7058823529411765
1101450,3,0.6949152542372882
1101468,3,0.5833333333333334
1101476,5,0.576271186440678
1101484,5,0.7735849056603774
1101492,3,0.6325757575757576
1101500,3,0.6612903225806451
1101559,5,0.660377358490566
1101609,3,0.7894736842105263
1101708,3,0.6095890410958904
1101757,3,0.5565217391304348
1101807,3,0.4358974358974359
1200013,3,0.5888888888888889
1200054,1,0.5048543689320388
1200104,3,0.4883116883116883
1200138,1,0.2556818181818182
1200179,1,0.3576158940397351
1200203,3,0.5158658204895739
1200252,3,0.5324232081911263
1200302,1,0.6419437340153452
1200328,1,0.30927835051546393
1200336,1,0.386046511627907
1200344,1,0.43386243386243384
1200351,1,0.625
1200385,1,0.3691588785046729
1200393,1,0.40229885057471265
1200401,3,0.548207526163438
1200427,1,0.4125874125874126
1200435,1,0.15517241379310345
1200450,3,0.4857142857142857
1200500,1,0.6556016597510373
1200609,1,0.505654281098546
1200708,1,0.5219512195121951
1200807,1,0.3983050847457627
1300029,1,0.594017094017094
1300060,1,0.6477272727272727
1300086,1,0.6610169491525424
1300102,1,0.7545126353790613
1300144,3,0.6204081632653061
1300201,1,0.8414634146341463
1300300,1,0.4151624548736462
1300409,1,0.4778761061946903
1300508,1,0.25121951219512195
1300607,1,0.38076923076923075
1300631,1,0.7797356828193832
1300680,1,0.38202247191011235
1300706,1,0.5086206896551724
1300805,1,0.4169184290030212
1300839,1,0.3089430894308943
1300904,1,0.7575757575757576
1301001,1,0.5941176470588235
1301100,1,0.3735632183908046
1301159,1,0.33035714285714285
1301209,1,0.40772532188841204
1301308,1,0.4930555555555556
1301407,1,0.43373493975903615
1301506,1,0.45726495726495725
1301605,1,0.4793388429752066
1301654,1,0.5506329113924051
1301704,1,0.5787401574803149
1301803,1,0.6451612903225806
1301852,1,0.3728813559322034
1301902,1,0.5034843205574913
1301951,1,0.825
1302009,1,0.30973451327433627
1302108,1,0.9052631578947369
1302207,1,0.5109489051094891
1302306,1,0.36666666666666664
1302405,1,0.683083511777302
1302504,1,0.403125
