bloco,n_features,roc_auc,queda_auc
sem município (socioeconômico),87,0.6322422745799897,0.001513143988835397
sem educacional,94,0.632483893492599,0.0012715250762260766
sem escola (socioeconômico),115,0.6325505924644504,0.0012048261043746678
sem identificação geográfica,123,0.6327299279157439,0.001025490653081218
sem escola (infraestrutura),103,0.6335909868342836,0.00016443173454150362
(modelo completo),125,0.6337554185688251,0.0
sem território,119,0.6338791831020846,-0.0001237645332594628
sem aluno,123,0.6340893903615668,-0.0003339717927416386
sem município (financiamento),111,0.6341014968600404,-0.000346078291215246
