comparacao,diferenca,ic_inferior,ic_superior,p_valor,significativo_5pct
lightgbm − logistica,0.00109251758305684,-0.00018442026068167804,0.0022370545695271716,0.08666666666666667,False
lightgbm − xgboost,0.0007259750276541466,-2.731027666353912e-05,0.001429293895133612,0.06,False
lightgbm − hist_gb,0.0009572355693929779,7.502790969464712e-05,0.0017661795475572778,0.04,True
