,roc_auc,pr_auc,ks,acuracia_balanceada,f1,recall,precisao,mcc,brier,log_loss,limiar,n,taxa_base
lightgbm,0.6370070414653577,0.723113960038861,0.18549656434149558,0.5927482821707477,0.6229255342815193,0.5690716174142075,0.6880377769356694,0.18192131068459927,0.2268400862655062,0.6437285149741788,0.5727997422218323,1851852.0,0.597844212172463
logistica,0.6360367388092483,0.7222277460502097,0.18792817348311835,0.5939640867415592,0.6534927815098628,0.6294743383502587,0.6794168485683952,0.18537496383442484,0.237712666371645,0.6671211182690779,0.47682756185531616,1851852.0,0.597844212172463
xgboost,0.6359950025929391,0.7224763069705122,0.18088552196354774,0.590442760981774,0.6482390647519615,0.6217750756693725,0.6770559168466566,0.17824739786507895,0.22693900323580052,0.643925567849289,0.5642493367195129,1851852.0,0.597844212172463
hist_gb,0.6359882703579153,0.7224503278290523,0.18117414582571617,0.5905870729128582,0.6205097857205768,0.5663591718686067,0.6861099895282459,0.17768636681255925,0.2267438331834901,0.6437643057685363,0.6060023903846741,1851852.0,0.597844212172463
referencia,0.5,0.597844212172463,0.0,0.5,0.0,0.0,0.0,0.0,0.24062212557464693,0.6742799979780264,inf,1851852.0,0.597844212172463
