,n,taxa_base,roc_auc,pr_auc,ks,acuracia_balanceada,brier
(total),1851852.0,0.597844212172463,0.6370070414653577,0.723113960038861,0.18549656434149558,0.5927482821707477,0.2268400862655062
UF nova,427789.0,0.5844773942293982,0.5682897064207836,0.641341109701103,0.10393780607651659,0.5519689030382583,0.23977064767359005
município visto,1423733.0,0.6018171946565823,0.6570863170104686,0.7414234083608674,0.22004086200714978,0.6100204310035748,0.22296152118385887
