id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco
1718501,Recursolândia,TO,Norte,48,0.149657809951496,0.5,0.05143605179594263,0.350342190048504,6.811218548390598,0.850342190048504
2907202,Casa Nova,BA,Nordeste,430,0.18574728161206777,0.20930232558139536,0.018739647539208294,0.023555043969327588,1.2569630202512727,0.8142527183879322
1715705,Palmeirante,TO,Norte,81,0.18963311538977695,0.30864197530864196,0.04343939710080762,0.119008859918865,2.739652662367462,0.810366884610223
2805406,Poço Redondo,SE,Nordeste,345,0.1955727232238057,0.26666666666666666,0.021339825520420068,0.07109394344286096,3.331514748085977,0.8044272767761943
2410108,Poço Branco,RN,Nordeste,65,0.200000146431039,0.24615384615384617,0.049520145699635996,0.04615369972280717,0.9320186576742326,0.799999853568961
1716307,Pau D'Arco,TO,Norte,58,0.20598803973129137,0.3793103448275862,0.05308665236123769,0.17332230509629482,3.264894232111152,0.7940119602687086
1711951,Lagoa do Tocantins,TO,Norte,52,0.20673244097934876,0.15384615384615385,0.055927686738323316,-0.052886287133194904,-0.9456190702226138,0.7932675590206513
2912608,Ibiquera,BA,Nordeste,32,0.20705459898794618,0.15625,0.07155237400567531,-0.050804598987946176,-0.7100337297532087,0.7929454010120538
2405504,Jardim de Angicos,RN,Nordeste,38,0.21331093644355126,0.3157894736842105,0.066370790580928,0.10247853724065925,1.544030684939694,0.7866890635564487
2902252,Arataca,BA,Nordeste,61,0.21559501167551454,0.13114754098360656,0.05249410070336357,-0.08444747069190797,-1.6087040174115599,0.7844049883244855
1709005,Goiatins,TO,Norte,127,0.21571016831171003,0.3858267716535433,0.036457800470579456,0.17011660334183326,4.666123604442708,0.78428983168829
1718303,Praia Norte,TO,Norte,39,0.2177631890402864,0.38461538461538464,0.06603109473262953,0.16685219557509823,2.526873077762976,0.7822368109597135
2901908,Aporá,BA,Nordeste,230,0.21859192043987558,0.16521739130434782,0.027166299552552297,-0.05337452913552776,-1.9647331441765383,0.7814080795601244
