id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco,residuo_uf,residuo_ajustado,mun_lag_meta_ano_alvo,meta,distancia_ate_meta_pp,prob_nao_atingir,classificacao
4311403,Lajeado,RS,Sul,733,0.5647880137154647,0.4829467939972715,0.018302400001525245,-0.08184121971819325,-4.471611357601896,0.4352119862845353,-0.0742131756906475,-0.007628044027545744,75.49,0.7549,-19.01119649222306,1.0,risco crítico
4101408,Apucarana,PR,Sul,1191,0.6782874888413467,0.7875734676742233,0.013533446205513082,0.1092859788328766,8.07525128288145,0.3217125111586533,0.07813155795034676,0.031154420882529843,80.0,0.8,-12.171252307958225,1.0,risco crítico
4103701,Cambé,PR,Sul,1120,0.649356124553187,0.7705357142857143,0.014257158433584953,0.12117958973252729,8.499561136044468,0.35064387544681297,0.07813155795034676,0.04304803178218053,79.24,0.7924,-14.30438779263662,1.0,risco crítico
4305108,Caxias do Sul,RS,Sul,3664,0.5381489985849466,0.4375,0.008231167898480735,-0.10064899858494658,-12.227790737147256,0.4618510014150534,-0.0742131756906475,-0.026435822894299077,70.89,0.7089,-17.075097623805146,1.0,risco crítico
4323002,Viamão,RS,Sul,2425,0.5321043917754553,0.3781443298969072,0.010124758921549487,-0.1539600618785481,-15.206294102554903,0.4678956082245447,-0.0742131756906475,-0.0797468861879006,62.36,0.6236,-9.149561432806031,1.0,risco crítico
4322608,Venâncio Aires,RS,Sul,487,0.5971000982293642,0.6119096509240246,0.02221711082419382,0.014809552694660444,0.6665831940007811,0.40289990177063584,-0.0742131756906475,0.08902272838530795,78.41,0.78410006,-18.69999574652159,1.0,risco crítico
4113700,Londrina,PR,Sul,4774,0.6390527465801293,0.7356514453288647,0.006946693330386682,0.09659869874873539,13.905709400785986,0.36094725341987066,0.07813155795034676,0.018467140798388626,74.82,0.7482,-10.914725275229864,1.0,risco crítico
3304557,Rio de Janeiro,RJ,Sudeste,43411,0.5552710459895974,0.6428785330906913,0.002384815783790728,0.0876074871010939,36.73553642866263,0.4447289540104026,-0.013487646671521136,0.10109513377261503,60.14,0.6014,-4.612897174874487,1.0,risco crítico
4319901,Sapiranga,RS,Sul,826,0.5762025373919132,0.4467312348668281,0.01718276196237035,-0.1294713025250851,-7.534952925997737,0.4237974626080868,-0.0742131756906475,-0.05525812683443759,73.9,0.739,-16.279748501943324,1.0,risco crítico
3205200,Vila Velha,ES,Sudeste,4241,0.6205001578129801,0.6838009903324688,0.007451257447897144,0.0633008325194887,8.495322160335924,0.37949984218701993,0.07975548994201592,-0.01645465742252722,70.0,0.7,-7.949983026609098,1.0,risco crítico
4107652,Fazenda Rio Grande,PR,Sul,1941,0.6161867019339876,0.6481195260175168,0.01103802457214277,0.031932824083529154,2.892983601804952,0.3838132980660124,0.07813155795034676,-0.04619873386681761,70.65,0.7065,-9.031329186712933,0.9999999999999999,risco crítico
4108403,Francisco Beltrão,PR,Sul,1041,0.6772594340257088,0.7617675312199808,0.01448794006350611,0.08450809719427199,5.832996052153798,0.32274056597429124,0.07813155795034676,0.006376539243925228,79.72,0.7972,-11.994059010225143,0.9999999999999999,risco crítico
4313904,Panambi,RS,Sul,513,0.5952252231342148,0.5497076023391813,0.021658726728132488,-0.04551762079503352,-2.101583410991134,0.4047747768657852,-0.0742131756906475,0.028695554895613984,76.0,0.76,-16.477476732904208,0.999999999999986,risco crítico
2301901,Barbalha,CE,Nordeste,705,0.6650697074897288,0.8794326241134752,0.017773970951292777,0.2143629166237464,12.060496622346221,0.3349302925102712,0.15967059056633892,0.05469232605740748,80.0,0.8,-13.493030443120013,0.9999999999999842,risco crítico
4202909,Brusque,SC,Sul,1305,0.6110843867350017,0.6620689655172414,0.013478697720655807,0.05098457878223972,3.7826042128763655,0.38891561326499835,0.05230326180180411,-0.0013186830195643928,70.5,0.705,-9.39155965756978,0.9999999999983893,risco crítico
4317400,Santiago,RS,Sul,392,0.5671928911247571,0.5994897959183674,0.025016521685149416,0.03229690479361025,1.2910229967255078,0.4328071088752429,-0.0742131756906475,0.10651008048425775,73.95,0.7395,-17.230709504696527,0.9999999999971656,risco crítico
5008305,Três Lagoas,MS,Centro-Oeste,1634,0.6337068040364779,0.8298653610771114,0.011917516743742224,0.19615855704063345,16.459683779645996,0.36629319596352206,-0.04453267849467879,0.24069123553531224,71.48,0.71480006,-8.10932557589017,0.9999999999949315,risco crítico
2313401,Tianguá,CE,Nordeste,1093,0.7107942613349044,0.8600182982616651,0.01370931719209337,0.14922403692676067,10.884862815255545,0.2892057386650956,0.15967059056633892,-0.010446553639578249,80.0,0.8,-8.920575058602454,0.9999999999616523,risco crítico
5201405,Aparecida de Goiânia,GO,Centro-Oeste,5449,0.5970059972216023,0.6935217471095614,0.006644019051352641,0.09651574988795908,14.526711790254373,0.4029940027783977,0.10274857715476204,-0.006232827266802965,63.87,0.6387,-4.169401117073168,0.9999999998256544,risco crítico
