,roc_auc,pr_auc,ks,acuracia_balanceada,f1,recall,precisao,mcc,brier,log_loss,limiar,n,taxa_base
lightgbm,0.6453524803109769,0.7382279691538189,0.2051948363397727,0.6025974181698863,0.617716851474493,0.5426128328612996,0.7169513824542723,0.20056425140307943,0.22492225835672755,0.6407413628431173,0.5995522737503052,421968.0,0.6116648655822242
xgboost,0.644725934976738,0.7422076671803838,0.207682978259024,0.6038414891295121,0.6069554189396427,0.5228997725714153,0.7232108887281301,0.20380150495307053,0.22381901544871013,0.6379328690368636,0.6036227345466614,421968.0,0.6116648655822242
logistica,0.6401422427379495,0.7351013167326625,0.20570551351476163,0.6028527567573808,0.6659926056316581,0.6354556126817589,0.6996126841669724,0.20176008503998988,0.22769117590225982,0.6462852621986405,0.6013578176498413,421968.0,0.6116648655822242
hist_gb,0.6247670073611098,0.72086837491229,0.18728216188264107,0.5936410809413206,0.5965008730918718,0.5128611445818142,0.7127373170652911,0.18387476617668025,0.22941292723135182,0.6507117461254748,0.6041282415390015,421968.0,0.6116648655822242
referencia,0.5,0.6116648655822242,0.0,0.5,0.0,0.0,0.0,0.0,0.2378513387814318,0.6686649131239818,inf,421968.0,0.6116648655822242
