modelo,roc_auc,ic_inferior,ic_superior,largura_ic
lightgbm,0.6353326034077278,0.6331273945948169,0.6378435988775473,0.004716204282730341
logistica,0.634240085824671,0.6320511807393776,0.6367245510045968,0.00467337026521919
xgboost,0.6346066283800736,0.6323381179553732,0.6370488054103688,0.004710687454995588
hist_gb,0.6343753678383348,0.6319049609273045,0.6368891564547291,0.004984195527424573
