id_municipio,grupo,alvo_alfabetizado
1100098,4,0.6964285714285714
1100130,2,0.654320987654321
1100189,4,0.8177966101694916
1100254,5,0.6831683168316832
1100288,4,0.7444279346210996
1100338,2,0.45792079207920794
1100403,5,0.6023391812865497
1100601,5,0.7941176470588235
1100924,4,0.7337662337662337
1101203,5,0.6951219512195121
1101476,5,0.576271186440678
1101484,5,0.7735849056603774
1101492,2,0.6325757575757576
1101559,5,0.660377358490566
1101807,5,0.4358974358974359
1200336,1,0.386046511627907
1200344,1,0.43386243386243384
1200351,1,0.625
1200393,1,0.40229885057471265
1200435,1,0.15517241379310345
1200450,2,0.4857142857142857
1200500,1,0.6556016597510373
1300060,1,0.6477272727272727
1300201,1,0.8414634146341463
1300300,1,0.4151624548736462
1300631,1,0.7797356828193832
1300839,1,0.3089430894308943
1301001,1,0.5941176470588235
1301209,1,0.40772532188841204
1301407,1,0.43373493975903615
1301506,1,0.45726495726495725
1301704,1,0.5787401574803149
1301803,1,0.6451612903225806
1301902,1,0.5034843205574913
1302207,1,0.5109489051094891
1302306,1,0.36666666666666664
1302504,1,0.403125
1303502,1,0.4927536231884058
1303536,2,0.3377777777777778
1303569,1,0.46629213483146065
1304237,1,0.30405405405405406
1304302,1,0.75
1304401,1,0.44357976653696496
1500701,1,0.3421828908554572
1501006,1,0.6415094339622641
1501105,1,0.5362318840579711
1501204,1,0.39080459770114945
1501576,1,0.5280898876404494
1502103,1,0.39526730937773885
1502152,4,0.6533523537803139
1502756,1,0.544
1502772,1,0.7343173431734318
1502855,1,0.42441860465116277
1502939,1,0.6941176470588235
1503002,1,0.5337837837837838
1503044,1,0.6710526315789473
1503754,1,0.2620320855614973
1503804,1,0.3771551724137931
1504059,1,0.4713896457765668
1504406,2,0.4497354497354497
1504703,1,0.3420026007802341
1504802,1,0.4685792349726776
1505007,2,0.5083333333333333
1505205,1,0.3136729222520107
1505304,1,0.31607629427792916
1505437,1,0.5341176470588235
1505601,2,0.8428571428571429
1505635,1,0.5686274509803921
1505700,1,0.5844594594594594
1506005,1,0.4446902654867257
1506187,2,0.699468085106383
1506195,1,0.546875
1506203,2,0.5085714285714286
1506559,1,0.4050632911392405
1506708,1,0.5882352941176471
1507003,2,0.31722054380664655
1507102,1,0.6928571428571428
1507201,1,0.32608695652173914
1507458,2,0.526984126984127
1507474,1,0.40540540540540543
1507755,1,0.7023809523809523
1508084,4,0.48822269807280516
1508126,1,0.6206896551724138
1508407,4,0.49248747913188645
1600204,1,0.39325842696629215
1600253,1,0.41904761904761906
1600279,1,0.4007421150278293
1600501,1,0.21354166666666666
1600535,1,0.685459940652819
1600550,1,0.2916666666666667
1600600,1,0.5318899941486249
1600808,1,0.3588235294117647
1700301,2,0.4025974025974026
1700350,4,0.7538461538461538
1702158,2,0.38095238095238093
1703008,2,0.19117647058823528
1703107,2,0.5
1703206,2,0.5892857142857143
1703701,5,0.49206349206349204
1705508,4,0.5588235294117647
1705557,4,0.5636363636363636
1706001,1,0.4864864864864865
1706506,2,0.45121951219512196
1707652,4,0.5161290322580645
1708304,2,0.3902439024390244
1709005,1,0.3858267716535433
1712454,2,0.48936170212765956
1712504,4,0.3620689655172414
1713304,5,0.6363636363636364
1714203,2,0.4423076923076923
1714880,2,0.42073170731707316
1716208,2,0.6833333333333333
1717008,2,0.3392857142857143
1718402,4,0.5777777777777777
1718865,1,0.3142857142857143
1719004,2,0.2857142857142857
1720002,2,0.5714285714285714
1720101,2,0.5263157894736842
1720200,1,0.3696969696969697
1720655,4,0.36
1720903,2,0.42196531791907516
1721000,4,0.5745614035087719
1721109,1,0.5098039215686274
2100154,1,0.6554621848739496
2100204,2,0.7090909090909091
2100303,1,0.45754716981132076
2100501,2,0.5256410256410257
2100808,1,0.3394495412844037
2101103,1,0.7132867132867133
2101905,2,0.6103896103896104
2102002,1,0.6867469879518072
2102101,1,0.5808823529411765
2102150,1,0.4946236559139785
2102200,1,0.2908366533864542
2102408,1,0.6323529411764706
2102507,1,0.3194444444444444
2102903,1,0.6215277777777778
